Station,Quarter,DO,Temperature,pH,Salinity,NH3,PO4,BOD5,TSS,Coliform,Alkalinity,Transparency,H2S,COD,CN,As,Cd,Pb,Cu,Hg,Zn,Total_Cr,Alkalinity_source,Transparency_source
DM1,1986-01-01,,17.9,,23.4,,,,,,124.00080635707367,44.9414297970583,0.044847446952411635,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM2,1986-01-01,,17.9,,29.5,,,,,,120.0631227224745,36.40214636096435,0.03562109559987353,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM3,1986-01-01,,17.5,,30.2,,,,,,81.87300768007628,30.289068358452685,0.0473719503713148,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM4,1986-01-01,,16.9,,31.1,,,,,,158.79556106030125,57.88879858657897,0.06,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM4,1986-10-01,5.1,26.9,8.1,28.4,0.003,0.005,0.6,5.5,,130.33183788555925,32.779130371264664,0.03440341232345925,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM4,1987-01-01,7.2,19.0,8.3,28.6,0.007,0.05,0.9,5.0,,133.82085215009022,36.979008768325464,0.034403617206504714,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM4,1988-07-01,,,,,,0.089,0.7,8.5,390.0,91.77216298410463,33.57773584391035,0.06,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM4,1989-04-01,,,,,,0.075,0.65,8.5,90.0,103.92728607037658,28.93473886244911,0.04947494454461421,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM4,1997-07-01,,,,,,,,,,113.83530308012276,33.513505829173724,0.03158861252445225,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1991-01-01,8.4,20.9,8.1,31.0,0.003,0.023,0.9,8.0,3.0,66.3056357292902,20.0,0.04559949087736384,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1991-04-01,8.6,26.5,8.5,22.9,0.009,0.01,2.0,4.0,2.0,60.91879861808126,20.0,0.031658088108152946,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1991-07-01,4.6,24.700000000000003,7.949999999999999,25.05,0.004999999999999999,0.0335,0.75,11.75,104.0,98.97382242765013,37.20103999690397,0.03163154872922779,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1991-10-01,9.0,21.8,8.2,32.5,0.005,0.021,0.8,10.0,8.0,138.28822682548366,55.84492713654352,0.04088892942708541,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1992-01-01,7.5,14.3,8.1,30.8,0.0045000000000000005,0.0245,1.75,3.75,11.5,97.14019135245206,37.18356434045621,0.01871037936310152,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1992-04-01,6.0,24.5,8.1,18.0,0.01,0.034,1.4,4.0,70.0,84.34181808432503,26.03975389805521,0.020033461927969527,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1992-07-01,6.3,28.05,7.949999999999999,19.1,0.0085,0.056,1.1,7.25,54.5,91.48600213668155,20.46600227003368,0.030542836027806906,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1992-10-01,7.8,21.1,8.1,32.6,0.004,0.053,1.4,42.0,55.0,104.06301518991405,43.005195795939215,0.025937827617303823,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1993-01-01,10.2,17.7,8.05,32.05,0.0025,0.0315,0.44999999999999996,24.0,190.0,107.61493630129637,27.403995841073097,0.041975228293290125,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1993-04-01,5.7,24.3,8.0,27.2,0.001,0.038,0.3,10.0,380.0,195.79325082722949,41.02647545273058,0.026942893370633034,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1993-07-01,5.4,28.65,8.2,21.75,0.0045000000000000005,0.0575,0.6,12.0,311.5,156.91172199705613,37.703388913393184,0.02243898661368278,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1993-10-01,7.25,22.299999999999997,8.2,29.85,0.007,0.0345,0.4,12.5,625.0,155.8670939298605,38.831516035451706,0.06,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1994-01-01,8.1,17.766666666666666,8.133333333333333,31.200000000000003,0.007666666666666666,0.033999999999999996,1.2,16.166666666666668,180.0,160.90031274956834,33.481070533690676,0.03450811139182965,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1994-04-01,5.866666666666667,25.46666666666667,8.066666666666666,20.4,0.004666666666666667,0.021666666666666667,0.7999999999999999,6.333333333333333,229.0,85.04126957330827,37.6252784690342,0.03838190361669961,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM5,1994-07-01,5.6,28.266666666666666,7.766666666666667,15.066666666666668,0.002,0.027333333333333334,0.3333333333333333,17.333333333333332,600.0,77.21723847544663,31.81554331609149,0.022337924296797294,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
