Station,Quarter,DO,Temperature,pH,Salinity,NH3,PO4,BOD5,TSS,Coliform,Alkalinity,Transparency,H2S,COD,CN,As,Cd,Pb,Cu,Hg,Zn,Total_Cr,Alkalinity_source,Transparency_source
DM1,1986-01-01,,19.4,8.1,26.9,,,1.5,57.0,110.0,134.89952175182333,28.828546700463004,0.048351428894684155,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM1,1986-04-01,3.1,26.3,7.6,17.6,,,2.3,26.0,780.0,64.70863882253585,66.29011483684548,0.04748291054415977,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM1,1986-07-01,6.3,30.8,8.2,14.1,0.033,0.279,2.8,10.0,30.0,126.51911600893669,33.858953811339596,0.048689507528627086,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM1,1986-10-01,4.25,22.55,7.75,23.5,0.024499999999999997,0.74,2.55,48.0,19150.0,105.88233527224025,30.620150161926638,0.032303348338569925,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM1,1987-01-01,3.6,21.5,7.4,24.5,0.001,0.85,2.4,15.0,1300.0,54.79241367696014,27.983469124188524,0.04969955578031594,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM1,1987-04-01,4.949999999999999,25.799999999999997,7.65,16.65,0.008,0.4995,1.45,9.25,1860.0,159.23111596912275,38.1146768440657,0.045227896306395364,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM1,1987-07-01,1.2,29.7,7.8,14.0,0.189,1.2,4.7,60.0,,46.23740316683708,44.60655707113421,0.04724318297190374,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM1,1987-10-01,1.3,24.35,7.4,14.55,0.11199999999999999,2.15,6.5,25.5,36000.0,195.1956180637449,20.0,0.06,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM1,1988-01-01,5.833333333333333,17.5,7.666666666666667,27.133333333333336,0.014333333333333332,0.6666666666666666,1.5333333333333332,43.333333333333336,4166.666666666667,141.59336148039728,33.162051561437835,0.042181692517916446,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM1,1988-04-01,3.533333333333333,25.266666666666666,7.566666666666666,17.766666666666666,0.07633333333333334,1.2366666666666666,3.033333333333333,27.333333333333332,40733.333333333336,72.3651473927799,20.0,0.030051876431130786,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM1,1988-07-01,4.666666666666667,30.03333333333333,7.966666666666666,12.066666666666668,0.10433333333333333,0.6433333333333334,2.066666666666667,31.666666666666668,2000.0,166.83327768060218,45.92894572149442,0.025035405537216854,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM1,1988-10-01,5.966666666666666,20.3,8.05,24.933333333333337,0.0635,0.5800000000000001,3.3000000000000003,126.33333333333333,3067.0,93.73671863078829,46.20323538973539,0.056386665142278684,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
DM1,1989-01-01,5.3,17.099999999999998,7.766666666666667,22.233333333333334,0.06233333333333333,0.8433333333333334,4.266666666666667,62.333333333333336,10466.666666666666,95.33116409919417,33.56345718578567,0.0426360063720935,,,,,,,,,,synthetic_truncated_normal,synthetic_lognormal
